mTurkCode,HDD_P,Flash_P,Tcards_P,GPS_P,Novel_P,Headphones_P,Perfume_P,Sunglasses_P,Vgame_P,DVD_P,Software_P,Supplement_P,Cosmetics_P,HDD_A,Flash_A,Tcards_A,GPS_A,Novel_A,Headphones_A,Perfume_A,Sunglasses_A,Vgame_A,DVD_A,Software_A,Supplement_A,Cosmetics_A
34611,8,7,5,6,4,3,3,4,3,2,6,7,3,9,9,8,8,9,9,8,9,8,9,7,7,9
15035,7,7,6,7,8,7,2,7,6,7,7,3,3,7,7,6,7,9,9,9,9,9,9,9,8,7
32541,5,6,8,6,5,5,7,8,6,6,6,3,6,5,6,9,8,9,8,8,9,8,7,7,5,8
61290,3,3,5,3,3,3,6,4,6,7,4,5,2,6,6,7,6,6,6,7,7,7,8,7,7,6
96054,7,5,8,2,7,7,6,7,7,6,7,7,9,7,8,8,7,7,8,8,8,6,7,5,7,7
64689,9,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
48493,8,8,5,8,3,6,1,5,6,7,7,8,4,9,9,9,9,8,8,8,8,8,8,9,6,8
23969,7,7,1,3,1,3,1,1,5,5,6,3,1,9,9,1,6,1,6,1,6,9,9,9,7,6
88655,9,9,9,9,9,9,9,1,1,1,1,9,9,,9,9,9,9,9,9,9,9,9,9,5,9
76753,8,8,5,7,8,8,4,4,9,8,7,6,3,9,9,6,9,9,9,5,8,9,9,9,7,5
61112,8,6,5,7,8,5,2,2,7,7,7,6,5,9,9,9,9,9,9,9,9,9,9,9,8,9
51713,9,9,5,9,1,9,1,1,9,5,9,9,1,9,9,5,9,5,9,5,5,9,5,9,9,1
97282,8,8,5,8,7,7,4,5,5,7,7,1,1,9,9,9,9,9,9,9,9,9,9,9,,9
96898,4,4,3,4,7,2,1,2,6,7,6,7,2,7,7,9,9,9,8,9,9,8,9,9,7,8
35349,4,6,2,6,8,3,9,8,4,9,2,6,6,6,8,4,8,9,8,8,8,6,8,6,7,8
78546,9,9,5,9,7,9,1,1,7,7,9,,1,9,9,5,9,9,9,6,6,9,9,9,9,1
42614,7,7,3,8,8,8,1,2,7,9,9,9,7,8,8,6,9,9,9,9,9,9,9,8,8,9
87930,7,9,5,8,9,7,4,4,9,9,9,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9
42978,7,8,3,8,6,7,1,6,8,9,7,7,2,,,,,,,,,,,,,
